A,C,D,E
1565328,147,7,0
1565979,17,0,0
1521735,4,0,0
1521728,69,0,0
1521943,14,0,0
1522125,29,0,0
1523116,13,0,0
1523815,55,0,0
1523586,7,0,0
1523972,58,0,0
1524251,6,0,0
1524544,46,0,0
1524363,28,0,0
1524427,14,0,0
1524296,3,0,0
1524852,26,0,0
1524806,15,0,0
1524634,46,8,-0.1
1524992,17,4,-0.2
1524817,92,0,0
1525178,13,0,0
1525090,32,0,0
1525061,49,0,0
1525431,91,0,0
1525586,21,0,0
1525342,38,0,0
1526166,8,0,0
1525609,28,18,0.2
1526067,31,0,0
1526379,13,0,0
1526380,38,0,0
1526078,34,25,-0.7
1526383,30,0,0
1526211,22,0,0
1526215,49,21,-2.5
1525904,31,20,-0.4
1525888,88,0,0
1526234,47,0,0
1526494,34,0,0
1525936,30,0,0
1526475,6,0,0
1525937,55,0,0
1526593,10,0,0
1525919,77,32,0.2
1525920,95,10,-1
1526155,15,0,0
1526304,16,0,0
1526459,54,0,0
1526327,140,0,0
1526466,37,0,0
1526813,18,0,0
1526638,37,131,-12.3
1526353,24,0,0
1526639,35,0,0
1526448,24,0,0
1526674,30,0,0
1526677,77,0,0
1526877,27,0,0
1526608,51,1,-0.1
1527072,21,1,0.1
1527075,22,0,0
1526750,36,0,0
1526844,54,0,0
1527078,15,0,0
1526542,8,0,0
1526848,21,0,0
1526887,70,23,-3.1
1526547,13,0,0
1526929,51,0,0
1527086,8,0,0
1527087,48,15,0.6
1527388,42,0,0
1527049,18,0,0
1526860,12,0,0
1527050,19,0,0
1527093,11,0,0
1526952,7,0,0
1527287,23,0,0
1527396,29,13,-0.7
1527398,17,0,0
1526667,44,0,0
1527202,124,0,0
1527294,30,0,0
1526960,27,0,0
1527208,94,0,0
1527387,44,0,0
1526964,24,0,0
1527312,14,0,0
1527779,55,0,0
1527232,15,0,0
1527415,22,0,0
1527140,33,0,0
1527618,34,0,0
1527141,101,74,-6.5
1527318,37,12,-0.9
1527239,17,3,0.1
1527629,7,0,0
1527795,65,0,0
1527151,90,0,0
1527631,14,5,-0.6
1527324,75,28,-0.7
1527249,46,33,-3.6
1527153,73,0,0
1527827,43,0,0
1527636,42,1,-0.1
1527456,10,1,0.1
1527829,55,0,0
1527535,57,34,-2.5
1527165,68,2,0.2
1527984,8,0,0
1527692,34,0,0
1527336,22,2,-0.1
1527540,66,39,-5.3
1527338,13,0,0
1527706,96,0,0
1528179,16,0,0
1527541,44,0,0
1527696,62,7,-0.1
1527340,34,3,0.3
1527874,48,4,-0.1
1528185,2,0,0
1527562,26,0,0
1527568,14,0,0
1528037,2,0,0
1527364,21,1,0
1527747,32,0,0
1528078,21,0,0
1528025,88,9,-0.8
1527371,26,0,0
1528203,43,0,0
1528029,9,0,0
1527754,20,0,0
1528047,51,0,0
1528099,53,2,0.1
1528121,51,0,0
1527767,23,0,0
1528731,66,2,-0.3
1527016,44,37,-2
1526900,34,0,0
1530818,78,1,0
1526736,22,0,0
1526908,42,3,-0.3
1526742,107,20,0
1530726,74,0,0
1530833,47,0,0
1531079,60,0,0
1531330,9,0,0
1531065,68,6,-0.7
1500173,105,0,0
1545471,1,0,0
1545130,39,2,0
1544621,37,0,0
1546290,68,0,0
1545759,29,0,0
1546296,122,0,0
1546482,73,0,0
1545974,83,25,-3.2
1546392,71,4,-0.6
1546393,64,0,0
1546488,59,0,0
1546331,82,0,0
1546993,24,0,0
1547143,9,0,0
1547332,82,0,0
1546259,12,0,0
1546653,4,0,0
1547358,59,2,-0.3
1547055,8,0,0
1547350,37,0,0
1547175,2,0,0
1547353,46,2,-0.2
1546747,19,0,0
1546752,42,0,0
1547380,46,1,-0.1
1547461,14,8,0.2
1547908,38,4,-0.4
1548132,2,0,0
1548254,5,0,0
1565487,9,0,0
1565387,6,0,0
1565689,5,0,0
1565516,14,0,0
1565233,29,0,0
1565412,85,0,0
1565414,91,0,0
1565269,67,0,0
1565719,19,0,0
1565338,26,2,0.2
1565796,8,2,-0.1
1565343,26,0,0
1559723,2,0,0
1566499,42,0,0
1566513,14,0,0
1566331,64,4,-0.4
1566388,13,22,2.2
1565375,40,0,0
1566297,3,0,0
1566526,10,4,0.4
1566403,4,0,0
1566077,26,0,0
1566530,22,0,0
1566356,6,2,-0.2
1566363,26,0,0
1566149,1,8,-1.6
1566621,17,0,0
1566624,14,0,0
1566129,32,4,0.3
1566374,78,5,-0.2
1566166,14,0,0
1566137,2,0,0
1566481,27,0,0
1566382,5,0,0
1566483,97,4,0
1566173,7,0,0
1566175,15,6,0.6
1566236,16,1,-0.2
1566244,18,0,0
1566247,24,0,0
1566554,8,2,0.2
1566587,10,0,0
1566270,15,0,0
1565962,63,1,0.1
1559889,29,0,0
1560229,26,3,0
1559894,77,0,0
1502339,13,0,0
1502176,30,0,0
1505422,36,0,0
1505728,23,0,0
1506657,11,0,0
1537023,15,7,-1.4
1538418,5,0,0
1539014,76,2,-0.1
1539322,3,0,0
1539384,35,0,0
1539157,53,8,-0.3
1539856,4,0,0
1533656,46,0,0
1533560,25,6,0.6
1533858,56,0,0
1533870,34,1,-0.1
1533581,36,0,0
1533762,55,3,0
1533767,33,0,0
1533792,20,0,0
1533795,58,0,0
1533822,2,0,0
1533823,27,1,0.1
1533828,13,0,0
1533917,6,0,0
1533918,48,21,0.4
1535086,18,0,0
1534538,29,0,0
1535108,77,10,1
1535285,1,0,0
1535150,18,0,0
1535902,81,2,0
1535058,20,0,0
1535948,85,0,0
1535031,24,9,0
1535070,6,0,0
1535972,75,0,0
1535887,30,0,0
1535851,50,0,0
1535565,59,0,0
1535987,76,0,0
1535677,6,0,0
1536026,21,0,0
1536090,42,0,0
1536079,53,24,-1.8
1535795,78,0,0
1539389,20,20,-0.8
1550757,19,0,0
1552518,1,0,0
1551850,30,0,0
